Display,statement_set,statement,statement_id,repetitions
Display 1,2,The typewriter was first invented by Christopher Sholes,13,27
Display 1,2,The first cat show was in Great Britain's Crystal Palace in 1871,14,27
Display 1,2,The first cat show was in Great Britain's Crystal Palace in 1871,14,27
Display 1,2,The first cat show was in Great Britain's Crystal Palace in 1871,14,27
Display 1,2,The first cat show was in Great Britain's Crystal Palace in 1871,14,27
Display 1,2,The first cat show was in Great Britain's Crystal Palace in 1871,14,27
Display 1,2,The first cat show was in Great Britain's Crystal Palace in 1871,14,27
Display 1,2,The first cat show was in Great Britain's Crystal Palace in 1871,14,27
Display 1,2,The first cat show was in Great Britain's Crystal Palace in 1871,14,27
Display 1,2,The first cat show was in Great Britain's Crystal Palace in 1871,14,27
Display 1,2,The first cat show was in Great Britain's Crystal Palace in 1871,14,27
Display 1,2,The first cat show was in Great Britain's Crystal Palace in 1871,14,27
Display 1,2,The first cat show was in Great Britain's Crystal Palace in 1871,14,27
Display 1,2,The first cat show was in Great Britain's Crystal Palace in 1871,14,27
Display 1,2,The first cat show was in Great Britain's Crystal Palace in 1871,14,27
Display 1,2,The first cat show was in Great Britain's Crystal Palace in 1871,14,27
Display 1,2,The first cat show was in Great Britain's Crystal Palace in 1871,14,27
Display 1,2,The first cat show was in Great Britain's Crystal Palace in 1871,14,27
Display 1,2,The first cat show was in Great Britain's Crystal Palace in 1871,14,27
Display 1,2,The first cat show was in Great Britain's Crystal Palace in 1871,14,27
Display 1,2,The first cat show was in Great Britain's Crystal Palace in 1871,14,27
Display 1,2,The first cat show was in Great Britain's Crystal Palace in 1871,14,27
Display 1,2,The first cat show was in Great Britain's Crystal Palace in 1871,14,27
Display 1,2,The first cat show was in Great Britain's Crystal Palace in 1871,14,27
Display 1,2,The first cat show was in Great Britain's Crystal Palace in 1871,14,27
Display 1,2,The first cat show was in Great Britain's Crystal Palace in 1871,14,27
Display 1,2,The first cat show was in Great Britain's Crystal Palace in 1871,14,27
Display 1,2,The first cat show was in Great Britain's Crystal Palace in 1871,14,27
